LogIncome,LogExpenditure,KidsCount,Race,UrbanRural
12.14431054,8.901815743,1.746182222,-0.400312369,0.619345235
7.692930461,9.700692658,1.596959206,1.372379616,1.09364086
7.512046534,9.129522255,-0.537590013,1.031182725,1.039270515
10.83421909,8.422599906,1.914521208,1.921658734,1.185269911
8.491467103,9.762914492,-0.58925927,3.192714721,1.239062259
12.2929881,9.373299912,0.416695833,0.328912893,1.237332656
10.35601229,10.73638833,1.318101815,1.168282789,0.967495027
10.40199249,10.42750924,0.898266618,2.110769687,1.23867997
11.20056703,9.622506869,0.189973105,2.125393279,1.173147257
10.22249867,8.054095928,0.964064432,1.310629538,0.797177066
10.65018398,9.15948331,0.127557203,1.997360769,1.502675537
11.61856328,9.137113682,0.875451596,1.282185884,1.348986497
11.45507108,8.952176756,1.591182887,1.094807954,1.067145683
9.903807837,9.141466922,0.939810808,1.378347119,1.093450191
10.54298317,7.692156734,0.70075572,0.491956071,1.164879027
9.565827599,8.919151806,0.331461321,1.366288219,1.487159359
11.58181946,9.110808472,1.298565948,2.932132376,0.670291093
10.01381209,8.77863666,1.106056037,0.130277402,1.063613866
9.49811948,9.95952437,0.577438166,1.804079702,1.076460277
10.59315558,10.0490446,0.6811663,0.854598036,1.163808148
11.43784094,8.731055971,0.562303401,2.103248251,0.911467364
7.297720635,8.500197555,1.180467928,0.567816801,0.934991602
8.586769034,9.41090963,0.504396132,0.61412929,0.337744267
9.934636448,9.561456863,1.285269807,1.926095142,0.63819162
11.40922461,8.318354533,1.152657004,1.199259051,1.185278533
11.38199549,9.077332792,1.277209183,0.774104693,1.093076194
11.4624626,7.341117448,-0.811198648,1.865481106,0.798674265
10.21130117,9.050439497,1.863052297,2.304135997,0.851359138
9.672681772,9.463929693,1.311914089,0.26467533,1.20667939
9.349210308,9.803187223,1.723444886,0.665458278,1.006927206
11.401633,8.103321069,0.320649563,0.366052011,0.990035282
9.686201144,10.1252713,-0.036327965,0.950572125,1.036833306
10.31656873,8.871294119,-1.906297445,1.748157347,1.149757299
9.82415019,8.488877281,2.795702973,1.754792572,0.642436831
10.53730915,8.749730646,1.319054006,0.368948925,0.923525901
12.89878252,8.754699555,-1.611530862,2.388710467,0.960756671
11.20163441,8.926311174,1.334312696,0.1676644,1.732190494
9.589900253,9.038229657,0.72919629,3.13564831,1.136314111
10.92608693,10.10523843,1.249053519,0.308076395,0.916125384
11.11956615,9.314041449,-0.717038239,2.144632886,1.062037458
11.02439488,9.46579967,2.711412446,1.051121964,1.448547042
11.57274596,9.209195119,0.589736968,2.47245314,0.676800593
11.05176851,7.722348645,1.682977064,0.343891716,0.939379596
10.72265078,7.725512754,-1.707277779,2.103541805,1.43394928
9.287213157,7.741520876,-0.444464118,1.394191967,0.762275226
12.29318953,9.948708215,2.149965925,1.490604225,0.721410317
9.04066325,7.749924983,0.092125871,0.969124252,0.755829733
10.10568923,9.460360132,0.858484203,-0.390210854,1.098764559
10.17388373,9.626651793,0.621575469,0.803719319,0.752490196
9.647772384,7.882399647,0.021591174,0.772792483,0.958568162
10.16725812,8.244848448,-0.47432725,0.42116493,0.826945408
12.13263535,8.138579284,0.447565805,1.192787511,1.097372235
11.94679727,9.82330109,0.976245154,2.890987147,0.933613619
11.26584408,8.283751036,0.075501943,1.441307072,0.956128139
11.11200228,10.12183851,0.603909259,2.352451383,0.840125762
10.98221159,8.735371098,0.16735904,1.792668868,1.127235051
10.27247712,9.201514074,0.520902181,1.603022889,0.885550893
9.838642629,8.6018341,-0.760103727,1.309062742,1.153447267
11.08313009,9.076081089,0.54115446,2.479972665,1.131248514
12.39047884,9.0886466,0.749104139,0.942280186,1.134056188
9.470798878,8.575266738,-0.107902261,1.322089405,1.146435624
10.55212525,8.207239764,0.69693639,0.13056041,1.113712611
10.94091612,8.569357954,0.624190732,1.441908752,1.056988683
10.75673079,7.949104253,0.630153609,1.045823925,1.36583736
10.51596963,9.113088855,-0.178157679,1.58953608,0.827652542
