UrbanRural,Race,KidsCount,LogIncome,LogExpenditure
2,4,5,9.584508919942662,11.955088780599594
2,3,7,11.372264824532117,12.044570833693266
1,5,6,9.847702100774024,10.961260912391808
1,2,5,9.317042075565356,5.752320169327327
1,1,1,8.518694977318185,6.74553742782265
1,6,1,10.297372558278461,10.95186221160184
1,4,4,8.64318765679917,7.443910793161518
1,2,2,12.535019781007797,8.084207900355134
1,6,5,13.52780613452474,8.701783247987747
2,2,2,8.09482074115872,9.652971653264549
2,3,1,11.897673158524766,5.925042977879887
2,3,6,9.429313265737001,9.06888597432986
1,4,4,9.784326607351632,8.380925916407495
1,1,4,13.198538017328916,5.686696800411516
1,3,5,5.369920117979772,9.989953250061118
1,6,2,5.201875359063496,10.249819353316168
2,3,6,5.046211429682971,10.727097177471682
1,6,2,12.388598491210198,9.205869660166131
2,3,1,11.85295306929863,10.291786295211631
1,6,3,12.808584233013194,9.030861567166369
2,4,4,13.451769748819219,6.936557714854707
2,3,5,11.816231864490408,10.190288827947375
2,2,3,9.152553243882032,12.263170410134794
1,5,2,11.79528794660908,7.104990000212015
1,2,1,5.759935784612106,12.540551605340378
1,1,7,10.158394739970392,12.534408426291924
1,4,6,5.742590160414859,10.01119247075134
1,1,4,13.132337818025352,5.524788253437866
1,2,4,9.61584141781824,5.083029427004329
2,6,7,8.726696783539909,11.780408567328744
1,5,6,7.13260070062136,7.030146207014022
2,6,3,11.878120174395265,12.499158809563282
2,6,4,8.860947954903462,10.036901430170193
1,1,7,10.023327041959176,7.29029969836945
1,5,3,4.881280178433827,6.322697793330877
1,6,6,10.118807475801914,10.968290351222146
1,4,4,10.441164107240807,4.707055380838069
1,3,6,10.294581153696393,6.9661058578931545
1,2,1,13.23007679922239,12.254907922532508
2,3,1,10.874428532745455,6.355512013307081
2,2,7,7.828845796523725,9.820764988575746
1,4,1,8.51061080874916,10.876472288507264
1,5,1,10.96553986230981,9.236771575184836
1,6,5,5.198862459488922,10.022518276080655
1,4,1,10.717764750620793,5.114446001493529
1,2,0,10.966850213044017,6.846048402646042
2,4,4,6.545164261046846,10.33200317217762
2,1,5,5.80350122015228,12.458090870593153
1,6,0,7.48051294548796,8.328155166376485
2,6,0,8.270309535667055,8.016299559101093
1,1,7,10.022482686531484,5.311488977528319
1,1,3,8.489776307523863,10.846151005956397
2,3,1,13.346838805781738,7.137269905970505
2,1,7,5.69045982791749,11.141601279491967
2,6,3,6.689916490496458,4.967093582220575
2,1,2,6.427199725868462,9.337270181567224
2,5,2,10.61902602630508,4.719486210870082
1,5,5,7.166522541792229,9.859548227458301
1,1,7,9.064718501325217,12.70954938995571
1,4,6,7.164774619046204,6.769553543281104
1,1,6,6.373128057742346,12.721752617590298
2,4,2,5.7910634881776595,7.700088402341228
1,6,4,11.009501695934508,11.097016823616217
1,6,3,5.819798003084585,11.904484946678027
1,6,7,6.26949992574234,10.157080873143709
2,6,4,8.031600894839533,11.84143231008048
2,2,2,12.212040567894373,9.127168329982371
1,3,5,5.720082626649433,8.466564555158751
1,5,2,12.20261382681494,9.428150041018915
1,1,3,5.676880989259786,12.114247414667632
2,2,5,13.396606624555554,5.3401882397903435
2,5,5,8.827252093793117,5.587631128313663
2,1,0,13.59001332160969,7.964787748670564
1,6,3,10.41236414167816,10.14435662622564
1,1,3,11.243706710354807,9.711059313299062
2,3,2,4.671659745386417,10.84056402994681
1,4,0,7.717593853167938,5.17809037871586
1,4,0,5.944775305056728,10.1472687555834
2,3,5,7.793323127094885,6.846317308949141
2,1,0,5.9291019541132925,12.503295753158042
1,5,5,7.781807811507083,9.458603645684047
2,5,0,8.706814450082266,5.2900214192663615
2,4,6,5.334394128263754,6.994705124446465
1,2,7,10.747956349386685,6.858314309949971
2,6,0,9.977762405339961,9.783620581882822
1,5,0,7.040609510573192,9.882047349436315
1,1,4,9.569528557753573,11.693373684059694
1,4,7,5.93231141044518,10.94014208817694
1,1,5,10.064445378306,7.668653892762053
2,3,2,13.122705536979005,10.543423246317621
1,3,7,7.805375638739779,9.876454587296664
2,5,3,10.834019605446793,8.103405708273769
2,5,7,5.750077920244651,11.22454334871934
1,1,3,11.32762998813786,4.851656250943501
1,5,2,7.826614269979845,9.367285066197924
1,1,1,6.419939763074712,8.94590040432913
1,5,0,10.01798106682961,10.319609556146212
2,3,0,4.668255854936765,12.699521032623714
2,2,7,12.219576280516518,10.303108815933054
1,5,2,4.852841185148268,6.299915955909804
